path,label
./data\001. Bulbasaur\bulbasaur-gen1-jp3.jpg,0
./data\001. Bulbasaur\bulbasaur-gen12.jpg,0
./data\001. Bulbasaur\bulbasaur0.jpg,0
./data\001. Bulbasaur\bulbasaur1.jpg,0
./data\001. Bulbasaur\bulbasaur4.png,0
./data\001. Bulbasaur\sprites\bulbasaur0.png,0
./data\001. Bulbasaur\sprites\bulbasaur1.png,0
./data\001. Bulbasaur\sprites\bulbasaur10.png,0
./data\001. Bulbasaur\sprites\bulbasaur11.png,0
./data\001. Bulbasaur\sprites\bulbasaur2.png,0
./data\001. Bulbasaur\sprites\bulbasaur3.png,0
./data\001. Bulbasaur\sprites\bulbasaur4.png,0
./data\001. Bulbasaur\sprites\bulbasaur5.png,0
./data\001. Bulbasaur\sprites\bulbasaur6.png,0
./data\001. Bulbasaur\sprites\bulbasaur7.png,0
./data\001. Bulbasaur\sprites\bulbasaur8.png,0
./data\001. Bulbasaur\sprites\bulbasaur9.png,0
./data\002. Ivysaur\ivysaur-gen1-jp3.jpg,1
./data\002. Ivysaur\ivysaur-gen12.jpg,1
./data\002. Ivysaur\ivysaur0.jpg,1
./data\002. Ivysaur\ivysaur1.jpg,1
./data\002. Ivysaur\ivysaur4.png,1
./data\002. Ivysaur\sprites\ivysaur0.png,1
./data\002. Ivysaur\sprites\ivysaur1.png,1
./data\002. Ivysaur\sprites\ivysaur10.png,1
./data\002. Ivysaur\sprites\ivysaur11.png,1
./data\002. Ivysaur\sprites\ivysaur2.png,1
./data\002. Ivysaur\sprites\ivysaur3.png,1
./data\002. Ivysaur\sprites\ivysaur4.png,1
./data\002. Ivysaur\sprites\ivysaur5.png,1
./data\002. Ivysaur\sprites\ivysaur6.png,1
./data\002. Ivysaur\sprites\ivysaur7.png,1
./data\002. Ivysaur\sprites\ivysaur8.png,1
./data\002. Ivysaur\sprites\ivysaur9.png,1
./data\003. Venusaur\venusaur-gigantamax-alt5.jpg,2
./data\003. Venusaur\venusaur-gigantamax3.jpg,2
./data\003. Venusaur\venusaur-mega2.jpg,2
